processed_date,ticket_number,member_code,master_code,renegotiated_date,closed_date,day_to_close,time_to_respond,Compliance 
22/06/2021,2021227363,OOCAOE01,,,29/06/2021,,,
22/06/2021,2021236612,OOC3BOE01,,03/07/2021,29/06/2021,,,
22/06/2021,2021245131,OOCAONE01,,,02/07/2021,,,
22/06/2021,2021247469,OOCNONE01,,,,,,
22/06/2021,2021250184,OOC6ONE01,,,02/07/2021,,,
22/06/2021,2021251243,OOC5ONE01,,,29/06/2021,,,
22/06/2021,2021254249,OOCLW01,,,24/06/2021,,,
22/06/2021,2021255318,OOCNOW01,,,,,,
22/06/2021,2021256220,OOC003,,,25/06/2021,,,
22/06/2021,2021256398,OOC1OW01,,,27/06/2021,,,
22/06/2021,2021256795,OOCHURN01,,,24/06/2021,,,
22/06/2021,2021256854,OOCCGN02,,,22/06/2021,,,
22/06/2021,2021257163,OOCOLLE01,,01/01/2001,22/06/2021,,,
22/06/2021,2021257849,OOCOLLS01,,,22/06/2021,,,
22/06/2021,2021258863,OOCOLLW01,,,22/06/2021,,,
22/06/2021,2021259253,OOCNGN02,,29/06/2021,26/06/2021,,,
22/06/2021,2021259640,OOCCGN02,,,23/06/2021,,,
22/06/2021,2021259661,OOCNGN02,,29/06/2021,03/07/2021,,,
22/06/2021,2021259779,OOC5GN02,,29/06/2021,03/07/2021,,,
22/06/2021,2021259800,OOCSC2,,16/07/2021,,,,
22/06/2021,20212322066,OOCKSP01,,,,,,
22/06/2021,20212323784,OOCLOS02,,29/06/2021,24/06/2021,,,
22/06/2021,20212325238,OOCCOS01,,,13/07/2021,,,
22/06/2021,20212425339,OOCNOS01,,,,,,
22/06/2021,20212427411,OOC003,,,13/07/2021,,,
22/06/2021,20212428072,OOCN01,,,13/07/2021,,,
22/06/2021,20212428461,OOCCHN01,,,22/06/2021,,,
22/06/2021,20212511273,OOCH03,,,24/06/2021,,,
22/06/2021,20212511497,OOCBT1,,,23/06/2021,,,
22/06/2021,20212511635,OOCN2HN01,,,,,,
22/06/2021,20212512133,OOC006,,,,,,
22/06/2021,20212512618,OOCAOS01,,,22/06/2021,,,
22/06/2021,20212512665,OOCNCLWIN,,,,,,
22/06/2021,20212513536,OOCNOS01,,,,,,
22/06/2021,20212513637,OOC1OS01,,,,,,
